,id,name,normalized_name,gender
453,471,Husband Of Marge's Friend,husband of marges friend,n
454,472,Sophisticate #1,sophisticate 1,n
455,473,Sophisticate #2,sophisticate 2,n
456,474,Sophisticate #3,sophisticate 3,n
457,475,Sultan,sultan,n
458,476,Worm Man,worm man,n
459,480,Convict,convict,n
460,481,Customer,customer,n
461,482,DIAMOND JOE,diamond joe,n
462,483,Lost And Found Guy,lost and found guy,n
463,484,Radioactive Man,radioactive man,n
464,485,Fallout Boy,fallout boy,n
465,486,Convention Director,convention director,n
466,487,BUDDY,buddy,n
467,488,Dealer,dealer,n
468,489,Young Patty,young patty,n
469,490,Young Selma,young selma,n
470,492,Older Patty,older patty,n
471,493,Older Selma,older selma,n
472,494,Adult Narrator,adult narrator,n
473,495,Teller,teller,n
474,497,Asa,asa,n
475,498,Soap Actress,soap actress,n
476,499,Soap Actor,soap actor,n
477,500,Osvaldo,osvaldo,n
478,501,Mail Person,mail person,n
479,502,Roman,roman,n
480,503,Postal Worker,postal worker,n
481,505,Joey,joey,n
482,506,Guard #1,guard 1,n
483,507,Guard #2,guard 2,n
484,509,Psychiatrist,psychiatrist,n
485,510,Orderly,orderly,n
486,512,Floyd,floyd,n
487,513,Bart's Head,barts head,n
488,515,Voice On Phone,voice on phone,n
489,519,Leon Kompowsky,leon kompowsky,n
490,520,Minnesota Girl,minnesota girl,n
491,521,Alabama Boy,alabama boy,n
492,522,QUEENS BOY,queens boy,n
493,523,Female Judge,female judge,n
494,524,Dad,dad,n
495,525,Flight Attendant,flight attendant,n
496,527,Irs Man,irs man,n
497,528,Hotel Guest,hotel guest,n
498,529,Miss Crowley,miss crowley,n
499,530,Truong/maria,truongmaria,n
500,531,TRUONG,truong,n
501,532,MARIA,maria,n
502,534,Worker,worker,n
503,535,Guide,guide,n
504,536,Lobbyist,lobbyist,n
505,537,Arnold,arnold,n
506,538,Newlywed Wife,newlywed wife,n
507,539,White Trash Woman #1,white trash woman 1,n
508,540,Man #3,man 3,n
509,541,Old Timer,old timer,n
510,542,Guy,guy,n
511,543,Songster,songster,n
512,544,Page,page,n
513,545,Senator,senator,n
514,546,Oil Developer,oil developer,n
531,547,Agent,agent,n
532,548,Speaker,speaker,n
533,549,Majority Leader,majority leader,n
534,550,Everyone Else,everyone else,n
535,551,President,president,n
536,552,Foreign Dignitary,foreign dignitary,n
537,553,Paper Boy,paper boy,n
538,554,Sportscaster #1,sportscaster 1,n
539,555,Girl,girl,n
540,556,Neighborhood Guy,neighborhood guy,n
541,557,Homemaker,homemaker,n
542,558,Landscaper,landscaper,n
543,559,Choreographer,choreographer,n
544,560,George Washington,george washington,n
545,561,Video Voice,video voice,n
546,562,Man Shopper,man shopper,n
547,563,HOMER (CONT'D,homer contd,n
548,564,Collection Agent,collection agent,n
549,565,Wife,wife,n
550,566,Shoppers,shoppers,n
551,569,Legs,legs,n
552,571,Race Announcer,race announcer,n
553,572,Jack Larson,jack larson,n
554,573,Fbi Agent #1,fbi agent 1,n
555,574,Fbi Agent #2,fbi agent 2,n
556,575,Rival Gang Leader,rival gang leader,n
557,576,Psychic,psychic,n
558,577,Skinner Body,skinner body,n
559,578,Prosecuting Attorney,prosecuting attorney,n
560,579,Joe,joe,n
561,580,Neil,neil,n
562,581,Calm Woman,calm woman,n
563,582,Mr. Devereaux,mr devereaux,n
564,583,Margarita,margarita,n
565,584,Program Voices,program voices,n
566,586,Female Worker,female worker,n
567,587,Male Worker,male worker,n
568,588,Contestant,contestant,n
569,589,Magic Johnson,magic johnson,n
570,590,Aristotle,aristotle,n
571,592,Thought Bubble Barney,thought bubble barney,n
572,593,Female Voice,female voice,n
573,594,SCOTT,scott,n
574,595,Miss Lois Pennycandy,miss lois pennycandy,n
575,596,Sexy Female Recording,sexy female recording,n
576,597,PENNYCANDY,pennycandy,n
577,600,Rabbi #1,rabbi 1,n
578,601,Rowdy Rabbi,rowdy rabbi,n
579,602,Martian,martian,n
580,604,Caller,caller,n
581,605,MONSIGNOR DALEY,monsignor daley,n
582,606,Yiddle,yiddle,n
583,607,Rabbi #2,rabbi 2,n
584,608,Waitress,waitress,n
585,609,Stagehand,stagehand,n
586,610,Airport Announcer,airport announcer,n
587,611,Customs Agent,customs agent,n
588,612,Military Cops,military cops,n
589,613,English Diplomat,english diplomat,n
590,614,Argentine Diplomat,argentine diplomat,n
591,616,Female Office Worker,female office worker,n
592,617,Male Office Worker,male office worker,n
593,618,Townspeople,townspeople,n
594,619,Patrons,patrons,n
595,620,Vin Scully,vin scully,n
596,621,Kids In Audience,kids in audience,n
597,622,DR MONROE,dr monroe,n
598,623,Crypt Keeper Willie,crypt keeper willie,n
599,624,Robot,robot,n
600,625,Homer-Ape,homer-ape,n
601,627,Little Man,little man,n
602,628,Teenager,teenager,n
603,630,Baby Lisa,baby lisa,n
604,631,Salesclerk,salesclerk,n
605,632,Millicent,millicent,n
606,633,Female Clerk,female clerk,n
607,634,Kevin,kevin,n
608,635,Johnny Carson,johnny carson,n
609,636,Scoey,scoey,n
610,637,Teenage Clerk,teenage clerk,n
611,639,DAVE JR.,dave jr,n
612,640,Official,official,n
613,641,Voice From Trunk,voice from trunk,n
614,642,Ronnie,ronnie,n
615,643,DREDERICK,drederick,n
616,644,Wanda,wanda,n
617,646,Girls,girls,n
618,647,Patron #1,patron 1,n
619,648,Patron #2,patron 2,n
620,649,Collette,collette,n
621,650,HARV,harv,n
622,651,Bernard,bernard,n
623,653,Aerosmith,aerosmith,n
624,654,Steven Tyler,steven tyler,n
625,655,Joe Perry,joe perry,n
626,656,Brad Whitford,brad whitford,n
639,658,Everyone,everyone,n
640,659,Bartender,bartender,n
641,660,One-eyed Bartender,one-eyed bartender,n
642,661,Flowers,flowers,n
643,662,Tom Hamilton,tom hamilton,n
644,663,Joey Kramer,joey kramer,n
645,664,Snappy,snappy,n
646,665,Broker,broker,n
647,666,Hans,hans,n
648,667,Fritz,fritz,n
649,670,German Teacher,german teacher,n
650,671,Boxer,boxer,n
651,672,Mr. Thorson,mr thorson,n
652,673,Angel,angel,n
653,674,Patient,patient,n
654,675,Justice Of The Peace,justice of the peace,n
655,676,Groom,groom,n
656,677,Applicant #1,applicant 1,n
657,678,Applicant #2,applicant 2,n
658,679,Applicants,applicants,n
659,680,Tourist Kid,tourist kid,n
660,681,Tourist Dad,tourist dad,n
661,682,Boss,boss,n
662,683,Elderly Lady,elderly lady,n
663,684,Repo Man,repo man,n
664,685,Driver,driver,n
665,686,M.C.,mc,n
666,687,Boy,boy,n
667,688,Operator,operator,n
668,689,Barber,barber,n
669,690,Rosarita,rosarita,n
670,691,Weasel,weasel,n
671,692,Robot Weasel,robot weasel,n
672,693,Señor Beaver-otti,señor beaver-otti,n
673,694,Robot Animals,robot animals,n
674,695,Fat Cop,fat cop,n
675,696,Falcon Man,falcon man,n
676,697,Sailor,sailor,n
677,698,Sting,sting,n
678,700,Choir,choir,n
679,701,Souvenir Hawker,souvenir hawker,n
680,702,Station Announcer,station announcer,n
681,703,Old Lady #1,old lady 1,n
682,704,Bret,bret,n
683,705,JIMMY,jimmy,n
684,706,Sportscaster,sportscaster,n
685,707,Coach,coach,n
686,708,Football Announcer #2,football announcer 2,n
687,709,Player,player,n
688,710,Marco,marco,n
689,711,Box,box,n
690,712,Nutty Comedian,nutty comedian,n
691,713,Alien,alien,n
692,714,Duff Announcer,duff announcer,n
693,716,Nick #2,nick 2,n
694,717,Commercial Guy,commercial guy,n
695,718,Man On Phone,man on phone,n
696,719,Bus Driver,bus driver,n
697,720,Policewoman,policewoman,n
698,721,Different Announcer,different announcer,n
699,722,Chef Rodrigo,chef rodrigo,n
700,723,Gregory,gregory,n
701,724,FABRIZIO,fabrizio,n
702,725,Woman On Tv #1,woman on tv 1,n
703,726,Woman On Tv #2,woman on tv 2,n
704,727,Teenage Boy,teenage boy,n
705,728,CHIF WIGGUM,chif wiggum,n
706,729,Service Manager,service manager,n
707,730,Ted,ted,n
708,731,Sound-alikes,sound-alikes,n
709,732,Mister Amazing,mister amazing,n
710,733,Sparkle,sparkle,n
711,734,Romantic Lover Voice,romantic lover voice,n
712,735,Southern Private,southern private,n
713,736,Charles Boyer,charles boyer,n
714,737,Umpire,umpire,n
715,738,Dispatcher,dispatcher,n
716,739,ARI,ari,n
717,740,Jose Canseco,jose canseco,n
718,743,Ozzie Smith,ozzie smith,n
719,744,Don Mattingly,don mattingly,n
720,745,Steve Sax,steve sax,n
721,746,Roger Clemens,roger clemens,n
722,747,Wade Boggs,wade boggs,n
723,748,KEN GRIFFEY JR.,ken griffey jr,n
724,749,Darryl Strawberry,darryl strawberry,n
725,750,Hypnotist,hypnotist,n
726,751,ALL THE PLAYERS,all the players,n
727,752,JOSE CONSECO,jose conseco,n
728,753,Ticket Taker,ticket taker,n
729,754,Courier,courier,n
730,756,FORTE,forte,n
731,757,Donna,donna,n
732,759,PRINCIPAL WILLIE,principal willie,n
733,760,Prosecutor,prosecutor,n
734,761,Steve Allen,steve allen,n
735,762,Mr. Montone,mr montone,n
736,763,Former Teacher,former teacher,n
737,764,Teacher #1,teacher 1,n
738,765,Teacher #2,teacher 2,n
739,766,Hippie Teacher,hippie teacher,n
740,768,Employer,employer,n
749,769,Window Washers,window washers,n
750,770,Sanjay Nahasapeemapetilon,sanjay nahasapeemapetilon,n
751,771,Lottery Announcer,lottery announcer,n
752,772,Vet,vet,n
753,773,Mr. Danielson,mr danielson,n
754,775,Sadistic Barfly,sadistic barfly,n
755,776,Young Barfly,young barfly,n
756,777,Trainee,trainee,n
757,778,Butler,butler,n
758,779,Ticket Man,ticket man,n
759,780,General,general,n
760,781,Cowboy #1,cowboy 1,n
761,782,Cowboy #2,cowboy 2,n
762,783,Bar Owner,bar owner,n
763,784,Yodelin' Zeke,yodelin zeke,n
764,786,Male Nurse,male nurse,n
765,787,Music Store Owner,music store owner,n
